id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_hotel_laundry_mng,hotel.laundry,model_hotel_laundry,group_laundry_manager,1,1,1,0
access_hotel_laundry_user,hotel.laundry,model_hotel_laundry,group_laundry_user,1,0,0,0
access_hotel_laundry_service_mng,hotel.laundry.services,model_hotel_laundry_services,group_laundry_manager,1,1,1,0
access_hotel_laundry_service_user,hotel.laundry.services,model_hotel_laundry_services,group_laundry_user,1,0,0,0
access_hotel_laundry_service_items_mng,hotel.laundry.services.items,model_hotel_laundry_services_items,group_laundry_manager,1,1,1,0
access_hotel_laundry_service_items_user,hotel.laundry.services.items,model_hotel_laundry_services_items,group_laundry_user,1,0,0,0
access_laundry_management_mng,laundry.management,model_laundry_management,group_laundry_manager,1,1,1,0
access_laundry_management_user,laundry.management,model_laundry_management,group_laundry_user,1,1,1,0
access_laundry_service_product_mng,laundry.service.product,model_laundry_service_product,group_laundry_manager,1,1,1,0
access_laundry_service_product_user,laundry.service.product,model_laundry_service_product,group_laundry_user,1,1,1,0
access_laundry_service_product_line_mng,laundry.service.product.line,model_laundry_service_product_line,group_laundry_manager,1,1,1,0
access_laundry_service_product_line_user,laundry.service.product.line,model_laundry_service_product_line,group_laundry_user,1,1,1,0
,,,,,,,
access_hotel_folio_user,hotel.folio,hotel.model_hotel_folio,group_laundry_user,1,0,0,0
access_hotel_folio_line_user,hotel_folio.line,hotel.model_hotel_folio_line,group_laundry_user,1,0,0,0
access_hotel_service_line_user,hotel_service.line,hotel.model_hotel_service_line,group_laundry_user,1,0,0,0
access_hotel_services_user,hotel.sevices,hotel.model_hotel_services,group_laundry_user,1,0,0,0
access_hotel_room_user,hotel.room,hotel.model_hotel_room,group_laundry_user,1,0,0,0
access_hotel_room_booking_history_user,hotel.room.booking.history,hotel_management.model_hotel_room_booking_history,group_laundry_user,1,0,0,0
,,,,,,,
access_hotel_folio_mng1,hotel.folio,hotel.model_hotel_folio,group_laundry_manager,1,0,0,0
access_hotel_folio_line_mng1,hotel_folio.line,hotel.model_hotel_folio_line,group_laundry_manager,1,0,0,0
access_hotel_service_line_mng1,hotel_service.line,hotel.model_hotel_service_line,group_laundry_manager,1,0,0,0
access_hotel_services_mng1,hotel.sevices,hotel.model_hotel_services,group_laundry_manager,1,0,0,0
access_hotel_room_mng1,hotel.room,hotel.model_hotel_room,group_laundry_manager,1,0,0,0
access_hotel_room_booking_history_mngggg,hotel.room.booking.history,hotel_management.model_hotel_room_booking_history,group_laundry_manager,1,0,0,0
